year,temp_mean_daily_max
1982,31.441666666666666
1983,31.75
1984,30.78333333333333
1985,31.358333333333334
1986,31.075
1987,31.516666666666666
1988,31.291666666666668
1989,31.21666666666667
1990,31.833333333333332
1991,31.516666666666666
1992,31.46666666666667
1993,31.28333333333333
1994,31.333333333333332
1995,31.308333333333334
1996,31.349999999999998
1997,32.36666666666667
1998,32.09166666666667
1999,31.358333333333334
2000,31.40833333333333
2001,31.349999999999998
2002,32.03333333333333
2003,31.433333333333334
2004,31.71666666666667
2005,31.858333333333334
2006,31.474999999999998
2007,31.125
2008,31.09166666666667
2009,31.741666666666664
2010,31.933333333333334
2011,31.175
2012,31.191666666666666
2013,31.28333333333333
2014,31.583333333333332
2015,31.875
2016,31.991666666666664
2017,31.141666666666666
2018,31.583333333333332
2019,32.300000000000004
2020,31.666666666666668
2021,31.666666666666668
2022,31.566666666666666
2023,31.866666666666664
2024,32.108333333333334
2025,31.791666666666668
